59,25070,24466,25674,2.4,0.7,3.7
60,24161,23570,24752,2.4,0.7,3.7
61,23289,22711,23868,2.5,0.7,3.7
62,22453,21887,23019,2.5,0.7,3.6
63,21652,21098,22205,2.6,0.7,3.6
64,20882,20341,21424,2.6,0.7,3.6
65,20144,19615,20674,2.6,0.7,3.6
66,19436,18918,19954,2.7,0.7,3.6
67,18756,18249,19263,2.7,0.8,3.6
68,18103,17608,18599,2.7,0.8,3.5
69,17476,16992,17961,2.8,0.8,3.5
70,16874,16400,17348,2.8,0.8,3.5
71,16296,15832,16759,2.8,0.8,3.5
72,15740,15287,16193,2.9,0.8,3.5
73,15205,14762,15648,2.9,0.8,3.4
74,14692,14259,15125,2.9,0.9,3.4
75,14198,13775,14622,3.0,0.9,3.4
76,13723,13309,14137,3.0,0.9,3.4
77,13267,12862,13672,3.1,0.9,3.4
78,12828,12432,13223,3.1,0.9,3.4
79,12405,12018,12792,3.1,0.9,3.3
80,11998,11620,12376,3.2,0.9,3.3
81,11607,11237,11977,3.2,1.0,3.3
82,11230,10869,11591,3.2,1.0,3.3
83,10867,10514,11221,3.3,1.0,3.3
84,10518,10173,10863,3.3,1.0,3.3
85,10181,9843.8,10519,3.3,1.0,3.2
86,9857.3,9527.2,10187,3.3,1.0,3.2
87,9545.0,9222.3,9867.7,3.4,1.1,3.2
88,9244.0,8928.5,9559.6,3.4,1.1,3.2
89,8954.0,8645.5,9262.5,3.4,1.1,3.2
90,8674.4,8372.8,8976.0,3.5,1.1,3.2
91,8404.8,8109.9,8699.7,3.5,1.1,3.1
92,8144.8,7856.5,8433.1,3.5,1.1,3.1
93,7894.1,7612.2,8176.0,3.6,1.1,3.1
94,7652.2,7376.6,7927.9,3.6,1.2,3.1
95,7418.9,7149.4,7688.5,3.6,1.2,3.1
96,7193.8,6930.2,7457.4,3.7,1.2,3.1
97,6976.5,6718.7,7234.3,3.7,1.2,3.1
98,6766.8,6514.7,7018.8,3.7,1.2,3.0
99,6564.3,6317.8,6810.8,3.8,1.2,3.0
100,6368.8,6127.7,6609.9,3.8,1.3,3.0
101,6180.0,5944.2,6415.8,3.8,1.3,3.0
102,5997.7,5767.1,6228.3,3.8,1.3,3.0
103,5821.6,5596.0,6047.2,3.9,1.3,3.0
104,5651.4,5430.7,5872.1,3.9,1.3,3.0
105,5487.0,5271.1,5702.9,3.9,1.3,2.9
106,5328.1,5116.9,5539.3,4.0,1.4,2.9
107,5174.5,4967.9,5381.1,4.0,1.4,2.9
108,5026.0,4823.9,5228.2,4.0,1.4,2.9
109,4882.5,4684.7,5080.2,4.1,1.4,2.9
110,4743.7,4550.2,4937.2,4.1,1.4,2.9
111,4609.4,4420.1,4798.8,4.1,1.4,2.9
112,4479.6,4294.3,4664.8,4.1,1.5,2.9
113,4353.9,4172.6,4535.3,4.2,1.5,2.8
114,4232.4,4055.0,4409.8,4.2,1.5,2.8
115,4114.8,3941.1,4288.4,4.2,1.5,2.8
116,4001.0,3831.0,4170.9,4.2,1.5,2.8
117,3890.8,3724.4,4057.1,4.3,1.5,2.8
118,3784.1,3621.3,3947.0,4.3,1.6,2.8
119,3680.8,3521.4,3840.2,4.3,1.6,2.8
120,3580.8,3424.8,3736.9,4.4,1.6,2.7
121,3484.0,3331.2,3636.8,4.4,1.6,2.7
122,3390.2,3240.6,3539.7,4.4,1.6,2.7
123,3299.3,3152.8,3445.7,4.4,1.6,2.7
124,3211.2,3067.8,3354.6,4.5,1.7,2.7
125,3125.9,2985.5,3266.3,4.5,1.7,2.7
126,3043.2,2905.7,3180.8,4.5,1.7,2.7
127,2963.1,2828.4,3097.8,4.5,1.7,2.7
128,2885.4,2753.5,3017.3,4.6,1.7,2.7
129,2810.1,2680.8,2939.3,4.6,1.7,2.6
130,2737.0,2610.5,2863.6,4.6,1.8,2.6
131,2666.2,2542.2,2790.2,4.7,1.8,2.6
132,2597.5,2476.1,2719.0,4.7,1.8,2.6
133,2530.9,2411.9,2649.9,4.7,1.8,2.6
134,2466.3,2349.7,2582.8,4.7,1.8,2.6
135,2403.5,2289.3,2517.8,4.8,1.8,2.6
136,2342.7,2230.8,2454.6,4.8,1.9,2.6
137,2283.6,2173.9,2393.3,4.8,1.9,2.5
138,2226.3,2118.8,2333.8,4.8,1.9,2.5
139,2170.7,2065.3,2276.0,4.9,1.9,2.5
140,2116.7,2013.4,2219.9,4.9,1.9,2.5
141,2064.2,1963.0,2165.4,4.9,2.0,2.5
142,2013.3,1914.1,2112.5,4.9,2.0,2.5
143,1963.8,1866.6,2061.1,5.0,2.0,2.5
144,1915.8,1820.5,2011.1,5.0,2.0,2.5
145,1869.1,1775.7,1962.6,5.0,2.0,2.5
146,1823.8,1732.2,1915.5,5.0,2.1,2.4
147,1779.8,1689.9,1869.6,5.0,2.1,2.4
148,1737.0,1648.8,1825.1,5.1,2.1,2.4
149,1695.4,1609.0,1781.8,5.1,2.1,2.4
150,1654.9,1570.2,1739.7,5.1,2.1,2.4
151,1615.6,1532.5,1698.8,5.1,2.1,2.4
152,1577.4,1495.9,1659.0,5.2,2.2,2.4
153,1540.3,1460.3,1620.3,5.2,2.2,2.4
154,1504.2,1425.7,1582.6,5.2,2.2,2.4
155,1469.1,1392.1,1546.0,5.2,2.2,2.4
156,1434.9,1359.4,1510.4,5.3,2.2,2.3
157,1401.7,1327.6,1475.7,5.3,2.3,2.3
158,1369.4,1296.7,1442.0,5.3,2.3,2.3
159,1337.9,1266.6,1409.2,5.3,2.3,2.3
160,1307.3,1237.3,1377.3,5.4,2.3,2.3
161,1277.5,1208.9,1346.2,5.4,2.3,2.3
162,1248.6,1181.2,1315.9,5.4,2.4,2.3
163,1220.4,1154.2,1286.5,5.4,2.4,2.3
164,1192.9,1128.0,1257.8,5.4,2.4,2.3
165,1166.2,1102.5,1229.9,5.5,2.4,2.3
166,1140.2,1077.6,1202.7,5.5,2.4,2.3
167,1114.8,1053.4,1176.2,5.5,2.5,2.2
168,1090.2,1029.9,1150.4,5.5,2.5,2.2
169,1066.1,1006.9,1125.3,5.6,2.5,2.2
170,1042.7,984.60,1100.8,5.6,2.5,2.2
171,1019.9,962.85,1077.0,5.6,2.5,2.2
172,997.72,941.67,1053.8,5.6,2.6,2.2
173,976.08,921.04,1031.1,5.6,2.6,2.2
174,955.00,900.95,1009.1,5.7,2.6,2.2
175,934.46,881.37,987.55,5.7,2.6,2.2
176,914.44,862.29,966.58,5.7,2.6,2.2
177,894.92,843.70,946.15,5.7,2.7,2.2
178,875.90,825.58,926.22,5.7,2.7,2.1
179,857.36,807.93,906.79,5.8,2.7,2.1
180,839.28,790.72,887.85,5.8,2.7,2.1
181,821.66,773.94,869.37,5.8,2.7,2.1
182,804.47,757.58,851.35,5.8,2.8,2.1
183,787.71,741.64,833.78,5.8,2.8,2.1
184,771.36,726.09,816.63,5.9,2.8,2.1
185,755.42,710.93,799.91,5.9,2.8,2.1
186,739.86,696.14,783.59,5.9,2.8,2.1
187,724.69,681.72,767.66,5.9,2.9,2.1
188,709.89,667.65,752.13,6.0,2.9,2.1
189,695.44,653.92,736.96,6.0,2.9,2.1
190,681.35,640.53,722.16,6.0,2.9,2.0
191,667.59,627.47,707.71,6.0,3.0,2.0
192,654.17,614.72,693.61,6.0,3.0,2.0
193,641.06,602.28,679.84,6.0,3.0,2.0
194,628.27,590.14,666.40,6.1,3.0,2.0
195,615.78,578.29,653.28,6.1,3.0,2.0
196,603.59,566.72,640.46,6.1,3.1,2.0
197,591.69,555.43,627.94,6.1,3.1,2.0
198,580.06,544.40,615.72,6.1,3.1,2.0
199,568.71,533.64,603.78,6.2,3.1,2.0
200,557.62,523.13,592.11,6.2,3.1,2.0
201,546.79,512.87,580.72,6.2,3.2,2.0
202,536.21,502.84,569.59,6.2,3.2,1.9
203,525.88,493.05,558.71,6.2,3.2,1.9
204,515.78,483.49,548.08,6.3,3.2,1.9
205,505.92,474.15,537.69,6.3,3.3,1.9
206,496.28,465.02,527.54,6.3,3.3,1.9
207,486.86,456.10,517.62,6.3,3.3,1.9
208,477.66,447.39,507.92,6.3,3.3,1.9
209,468.66,438.88,498.44,6.4,3.3,1.9
210,459.86,430.56,489.17,6.4,3.4,1.9
211,451.27,422.42,480.11,6.4,3.4,1.9
212,442.86,414.48,471.25,6.4,3.4,1.9
213,434.65,406.71,462.59,6.4,3.4,1.9
214,426.61,399.11,454.11,6.4,3.5,1.9
215,418.76,391.69,445.83,6.5,3.5,1.9
216,411.07,384.43,437.72,6.5,3.5,1.8
217,403.56,377.33,429.79,6.5,3.5,1.8
218,396.21,370.39,422.04,6.5,3.6,1.8
219,389.03,363.60,414.45,6.5,3.6,1.8
220,381.99,356.96,407.03,6.6,3.6,1.8
